year,latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,magNst,depth_class
2022,-2.4732,140.0375,35.0,5.5,23,7.335,0.91,8.2,1.9,0.098,10,0
2021,-2.3244,99.79,21.0,5.5,46,2.914,1.09,7.4,1.8,0.066,22,0
2023,-5.3494,125.6371,13.712,5.5,38,4.33,0.52,7.16,4.171,0.052,35,0
2023,-4.8305,102.9546,62.192,5.5,65,0.467,0.78,6.11,3.977,0.073,18,0
2023,-4.7811,133.9484,10.0,5.5,23,2.509,1.03,6.3,1.78,0.048,42,0
2022,-4.7623,100.7623,10.0,5.5,93,2.223,0.85,6.61,1.789,0.061,26,0
2021,1.2369,126.1559,41.0,5.5,13,1.295,0.93,5.4,1.8,0.063,24,0
2020,-3.3848,100.3604,17.03,5.5,29,2.764,0.67,6.4,3.4,0.078,16,0
2024,-3.3053,130.9364,10.0,5.5,33,1.365,0.63,6.1,1.825,0.063,24,0
2021,-0.0798,125.2498,42.0,5.5,42,2.279,1.05,7.1,1.9,0.069,20,0
2022,0.3574,124.3718,173.104,5.5,47,2.119,0.6,7.75,5.362,0.059,28,1
2021,-4.6982,138.3708,12.0,5.5,26,6.358,1.0,8.2,1.8,0.075,17,0
2021,-4.3366,102.6881,58.04,5.5,27,0.267,1.02,6.1,3.4,0.078,16,0
2020,-4.0808,100.9938,21.0,5.5,30,1.976,0.8,6.5,1.7,0.073,18,0
2024,-3.8297,129.3035,24.808,5.5,60,0.912,0.88,6.11,4.779,0.065,23,0
2024,-3.6756,100.6221,19.0,5.5,35,2.425,0.54,7.46,1.695,0.075,17,0
2023,-1.614,120.2491,38.883,5.5,23,2.585,0.68,5.69,2.876,0.06,27,0
2024,-1.585,134.4849,10.0,5.5,90,14.808,0.39,10.87,1.818,0.072,67,0
2023,-0.9713,98.6027,19.993,5.5,40,2.482,0.77,6.81,3.356,0.093,11,0
2023,-7.1498,129.2243,154.0,5.5,47,5.171,0.51,6.87,1.515,0.047,43,1
2023,-7.0345,129.6876,117.236,5.5,47,2.505,0.63,7.33,4.165,0.05,39,1
2022,-7.0024,125.4656,480.972,5.5,29,2.981,0.7,9.73,4.45,0.063,24,2
2024,-7.3691,128.681,144.012,5.5,18,5.671,0.73,8.1,3.747,0.05,38,1
2023,-6.1265,113.093,575.691,5.5,56,2.555,0.63,9.56,4.105,0.068,21,2
2023,-8.3786,121.4462,173.0,5.5,20,3.104,0.78,5.59,1.877,0.063,24,1
2022,-8.0904,120.7908,10.0,5.5,50,1.53,0.83,5.9,1.8,0.056,31,0
2020,-7.9349,125.7018,16.19,5.5,27,2.298,0.95,6.6,3.2,0.066,22,0
2021,-7.7093,125.4591,17.43,5.5,34,2.349,0.54,6.4,4.0,0.065,23,0
2023,-7.6305,125.8938,10.0,5.5,63,5.044,0.79,7.47,1.824,0.059,28,0
2023,-6.8165,116.6136,514.072,5.5,36,2.306,0.66,9.41,6.017,0.067,77,2
2020,-6.7598,129.3659,185.0,5.5,18,2.269,1.09,7.2,1.9,0.078,16,1
2020,-6.7432,129.6245,163.21,5.4,24,2.067,1.01,6.8,4.0,0.047,44,1
2023,-6.0524,113.0021,578.05,5.4,35,2.659,0.71,9.61,6.835,0.036,263,2
2020,-6.0429,122.5845,10.0,5.4,44,2.598,1.17,6.4,1.7,0.069,20,0
2023,-7.081,130.1162,108.246,5.4,64,1.476,0.7,8.11,5.266,0.088,44,1
2024,-7.0643,129.9588,87.686,5.4,21,2.526,0.76,5.92,4.497,0.093,11,1
2022,-7.0422,105.2063,34.46,5.4,23,2.4,0.5,5.6,3.7,0.098,10,0
2021,-7.0422,128.6902,13.0,5.4,39,2.75,1.07,5.0,1.7,0.098,10,0
2022,-7.5885,122.3837,10.0,5.4,39,1.05,0.61,3.83,1.826,0.071,19,0
2023,-7.4965,105.5471,54.787,5.4,43,2.085,0.65,7.35,5.401,0.078,16,0
2021,-7.3486,125.2798,428.11,5.4,22,2.592,0.82,8.9,5.7,0.098,10,2
2023,-7.2442,106.0073,50.524,5.4,53,4.174,0.55,7.91,2.626,0.044,179,0
2020,-7.9934,107.9821,43.0,5.4,26,0.621,0.93,6.9,1.8,0.073,18,0
2021,-7.5981,122.8179,540.83,5.4,32,1.18,0.54,9.4,6.3,0.083,14,2
2022,-7.5962,122.4103,10.0,5.4,59,1.047,0.61,5.18,1.766,0.073,18,0
2021,-10.4175,117.0405,19.0,5.4,46,3.444,1.31,6.7,1.6,0.058,29,0
2021,-10.2439,116.9849,19.31,5.4,46,3.304,1.29,7.3,3.2,0.075,17,0
2023,-9.4768,123.9031,47.151,5.4,39,0.453,0.98,7.35,4.95,0.093,11,0
2022,-8.9212,115.696,128.0,5.4,42,1.591,0.87,8.48,1.89,0.059,28,1
2024,-8.7602,110.259,54.841,5.4,40,1.709,1.33,6.36,4.619,0.069,20,0
2022,1.4713,127.8516,10.0,5.4,50,0.847,0.74,4.9,1.8,0.093,11,0
2020,1.6105,126.6462,35.0,5.4,85,1.101,1.26,5.8,1.9,0.071,19,0
2023,1.7474,120.2411,24.286,5.4,34,0.832,0.59,3.91,4.143,0.083,14,0
2021,1.8112,126.5903,33.84,5.4,67,1.291,0.78,6.6,5.0,0.098,10,0
2021,1.8228,96.9785,17.35,5.4,36,0.788,0.87,5.7,3.2,0.041,204,0
2023,4.7016,126.9061,56.549,5.4,24,2.698,0.66,7.93,3.95,0.058,29,0
2020,5.5936,125.5446,201.06,5.4,43,1.466,1.07,4.1,3.8,0.053,34,1
2023,5.7772,124.0668,9.0,5.4,86,1.977,0.55,5.99,1.814,0.075,17,0
2021,3.5769,126.7347,35.0,5.4,32,2.857,0.83,5.8,1.8,0.062,25,0
2021,3.6042,126.7058,40.27,5.4,53,2.89,1.06,7.1,4.7,0.042,192,0
2020,4.177,126.6843,10.0,5.4,39,3.077,0.95,6.8,1.7,0.08,15,0
2023,2.9043,127.088,35.0,5.4,54,2.137,0.69,7.39,1.8,0.044,174,0
2020,3.0199,128.0385,101.76,5.4,33,2.331,0.75,5.6,4.7,0.117,7,1
2022,-1.3714,136.9275,18.49,5.4,53,4.921,0.46,7.6,4.2,0.086,13,0
2021,-0.5846,123.5502,10.0,5.4,23,0.901,0.84,4.6,1.7,0.041,201,0
2021,0.9715,126.9274,27.09,5.4,60,0.482,0.84,2.8,4.6,0.098,10,0
2022,-2.4346,139.9549,26.41,5.4,25,7.713,1.22,7.29,4.09,0.045,164,0
2020,-2.2318,119.079,22.0,5.4,18,2.443,1.03,4.9,1.8,0.065,23,0
2024,-5.4067,101.0211,9.0,5.4,32,2.19,0.72,6.54,1.763,0.06,27,0
2022,-4.6015,100.5808,10.0,5.4,106,2.38,0.48,5.81,1.857,0.086,46,0
2023,-3.7466,140.1181,13.794,5.4,38,1.356,0.8,7.63,3.203,0.066,22,0
2022,-3.19,101.4217,34.0,5.4,39,1.922,0.82,7.53,1.761,0.093,11,0
2021,-0.0201,123.4601,107.55,5.4,28,1.226,0.89,5.7,4.0,0.047,43,1
2024,-0.1092,123.6177,81.212,5.3,42,1.254,0.78,6.07,6.013,0.07,69,1
2021,0.0033,123.2252,159.24,5.3,36,1.132,0.93,6.0,3.9,0.069,20,1
2021,0.2466,126.3835,16.26,5.3,34,1.113,0.75,6.0,3.4,0.083,14,0
2021,0.34,126.2897,8.6,5.3,26,1.159,1.0,5.6,3.0,0.078,16,0
2020,-2.6552,127.4963,10.0,5.3,60,3.406,0.55,6.6,1.8,0.073,18,0
2024,-2.2033,138.2031,22.062,5.3,17,2.517,0.82,6.84,3.724,0.083,14,0
2021,-1.9016,140.5378,12.95,5.3,26,0.631,0.88,6.3,2.4,0.075,17,0
2023,-1.0804,120.281,10.0,5.3,62,2.234,0.73,6.14,1.848,0.054,33,0
2024,-0.6873,98.4764,19.996,5.3,60,2.173,0.78,7.97,4.149,0.093,11,0
2022,-0.5434,98.5566,25.09,5.3,46,2.08,0.64,5.6,2.9,0.069,20,0
2023,-0.2533,124.5471,39.334,5.3,20,1.94,0.94,5.83,3.75,0.08,15,0
2020,-0.2149,124.4602,47.46,5.3,28,1.877,0.77,6.5,5.4,0.093,11,0
2022,-0.2127,97.3082,10.0,5.3,40,1.53,0.57,3.61,1.779,0.051,129,0
2020,-0.1918,125.189,21.24,5.3,28,2.378,0.8,5.1,2.9,0.065,23,0
2021,0.4526,123.6478,196.83,5.3,30,1.723,0.93,6.6,4.8,0.056,31,1
2022,0.4649,126.2882,10.83,5.3,26,1.121,0.41,3.24,4.074,0.071,19,0
2024,0.9271,123.8264,274.091,5.3,17,2.222,0.78,7.02,4.227,0.078,16,1
2022,0.9953,126.0371,21.222,5.3,42,1.348,0.71,6.33,3.838,0.083,14,0
2024,1.0961,126.4084,35.0,5.3,44,1.011,0.6,5.24,1.665,0.047,153,0
2024,1.2023,126.1216,48.375,5.3,39,1.316,0.87,6.06,3.993,0.083,14,0
2022,-3.4837,130.9525,10.0,5.3,28,1.41,0.51,6.3,1.8,0.083,14,0
2020,-3.4399,131.1422,10.0,5.3,21,1.22,0.88,5.2,1.7,0.093,11,0
2020,-3.4262,131.1283,12.22,5.3,28,1.227,0.75,5.0,3.1,0.093,11,0
